Table 1
Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Guinea-Bissau;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;3;0;1;0
Cameroon;0;1;1;0;2;2;2;1;5;0;4;8;14;13;31;53;54;125;111;57;59;49;65;76;116;67;112;86;62;79;111;122;201
Cape Verde;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;1;2;1;2;1;0;0;1;0;2;1;1
Kenya;15;14;8;11;11;9;9;8;19;14;23;49;25;40;89;75;84;83;112;75;60;69;92;130;90;97;78;59;51;49;118;195;395
Central African Republic;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;2;1;1;1;5;1;1
Comoros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Congo;0;0;0;0;0;0;0;0;0;4;2;0;4;4;5;3;12;14;4;11;15;8;3;13;2;3;1;1;2;2;3;5;6
Democratic Republic of the Congo;3;6;10;55;52;39;45;47;37;4;14;30;20;31;55;40;89;109;166;158;193;103;308;85;237;240;248;47;157;245;274;36;353
Lesotho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Liberia;2;1;8;9;6;4;2;5;2;1;1;5;0;13;11;7;15;15;11;4;0;1;2;1;4;1;3;1;3;2;3;2;4
Libya;1;11;8;3;5;6;0;3;2;2;6;11;12;9;10;10;4;10;5;7;5;3;6;6;17;19;20;1;1;9;5;4;2
Madagascar;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;0;2;1;1;4;3;0;1;0;3;1
Malawi;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;1;1;1;0;4;5;3;0;1;0;1;1;2;1;4;6
Mali;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;9;9;2;3;0;1;3;1;7
Morocco;112;194;93;56;69;46;35;47;44;52;62;81;49;60;71;61;82;77;92;101;63;87;79;111;118;113;146;108;139;145;184;169;230
Mauritania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;12;1;0;6;2;1;1;2;1;1;0;2
Mauritius;4;8;1;0;0;2;0;0;2;0;0;2;4;0;2;2;1;2;0;0;3;0;3;2;4;2;2;0;3;3;1;2;4
Mozambique;2;2;0;1;0;1;1;1;4;2;0;3;1;2;3;2;3;4;3;3;4;1;1;3;2;2;0;4;2;2;1;0;1
Namibia;5;6;3;2;4;0;1;2;1;4;0;2;2;2;7;2;6;0;1;7;2;2;3;9;6;3;4;53;8;7;3;3;17
Niger;0;0;3;3;1;2;0;2;0;0;2;0;0;0;0;2;4;6;6;3;2;4;0;3;4;1;6;0;0;3;2;4;2
Nigeria;21;37;32;18;13;18;11;11;14;14;32;34;16;27;63;110;150;210;263;129;180;241;198;219;294;269;286;212;209;187;234;449;501
Cote d Ivoire;3;4;1;0;4;5;5;8;4;1;2;1;6;1;6;5;5;15;4;9;4;8;4;8;6;10;2;3;8;6;8;8;6
